,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,duke,madame,marchioness,marquis
135,Subject,,,12022,30,10.27011643073072,,,Feature,,,,,,,,,,Category,,,,,
136,Subject,,,12012,40,5.631417117326568,,,Feature,,,,,,,,,,Category,,,,,
137,Subject,,,12002,50,2.777787494073711,,,Feature,,,,,,,,,,Category,,,,,
138,Subject,,,11992,60,1.494112974055387,,,Feature,,,,,,,,,,Category,,,,,
139,Subject,,,11982,70,1.1520056764601438,,,Feature,,,,,,,,,,Category,,,,,
140,Subject,,,12051,1,0.8471490411251279,,,,Feature,,,,,,,,,Category,,,,,
141,Subject,,,12047,5,4.227236841351158,,,,Feature,,,,,,,,,Category,,,,,
142,Subject,,,12042,10,8.385717265542798,,,,Feature,,,,,,,,,Category,,,,,
143,Subject,,,12037,15,11.66699118495751,,,,Feature,,,,,,,,,Category,,,,,
144,Subject,,,12032,20,13.04117318553156,,,,Feature,,,,,,,,,Category,,,,,
145,Subject,,,12022,30,13.513742831930841,,,,Feature,,,,,,,,,Category,,,,,
146,Subject,,,12012,40,1.3026589471060528,,,,Feature,,,,,,,,,Category,,,,,
147,Subject,,,12002,50,0.19101986619038938,,,,Feature,,,,,,,,,Category,,,,,
148,Subject,,,11992,60,0.03625177473015003,,,,Feature,,,,,,,,,Category,,,,,
149,Subject,,,11982,70,0.017515111160018096,,,,Feature,,,,,,,,,Category,,,,,
150,Subject,,,12051,1,0.23345657732418135,,,,,Feature,,,,,,,,Category,,,,,
151,Subject,,,12047,5,1.1634860284099655,,,,,Feature,,,,,,,,Category,,,,,
152,Subject,,,12042,10,2.3115163856426997,,,,,Feature,,,,,,,,Category,,,,,
153,Subject,,,12037,15,3.431968290442986,,,,,Feature,,,,,,,,Category,,,,,
154,Subject,,,12032,20,4.495029656049306,,,,,Feature,,,,,,,,Category,,,,,
155,Subject,,,12022,30,6.404237612025743,,,,,Feature,,,,,,,,Category,,,,,
156,Subject,,,12012,40,5.351968178803664,,,,,Feature,,,,,,,,Category,,,,,
157,Subject,,,12002,50,4.006597933925937,,,,,Feature,,,,,,,,Category,,,,,
158,Subject,,,11992,60,3.083684817528229,,,,,Feature,,,,,,,,Category,,,,,
159,Subject,,,11982,70,2.7656892066001837,,,,,Feature,,,,,,,,Category,,,,,
160,Subject,,,12051,1,0.9479014268851718,,,,,,Feature,,,,,,,Category,,,,,
161,Subject,,,12047,5,4.713258324051457,,,,,,Feature,,,,,,,Category,,,,,
162,Subject,,,12042,10,9.348164207289932,,,,,,Feature,,,,,,,Category,,,,,
163,Subject,,,12037,15,12.628368855916115,,,,,,Feature,,,,,,,Category,,,,,
164,Subject,,,12032,20,13.413059724043494,,,,,,Feature,,,,,,,Category,,,,,
165,Subject,,,12022,30,13.550926350097214,,,,,,Feature,,,,,,,Category,,,,,
166,Subject,,,12012,40,0.6862856899292114,,,,,,Feature,,,,,,,Category,,,,,
167,Subject,,,12002,50,0.046215953903670136,,,,,,Feature,,,,,,,Category,,,,,
168,Subject,,,11992,60,0.007501060073845583,,,,,,Feature,,,,,,,Category,,,,,
169,Subject,,,11982,70,0.0025022793769253933,,,,,,Feature,,,,,,,Category,,,,,
170,Subject,,,12051,1,0.4481086563005968,,,,,,,Feature,,,,,,Category,,,,,
171,Subject,,,12047,5,2.2360008814126724,,,,,,,Feature,,,,,,Category,,,,,
172,Subject,,,12042,10,4.433583696269845,,,,,,,Feature,,,,,,Category,,,,,
173,Subject,,,12037,15,6.488745613498639,,,,,,,Feature,,,,,,Category,,,,,
174,Subject,,,12032,20,8.268415037582335,,,,,,,Feature,,,,,,Category,,,,,
175,Subject,,,12022,30,10.786048204828342,,,,,,,Feature,,,,,,Category,,,,,
176,Subject,,,12012,40,5.284725094151099,,,,,,,Feature,,,,,,Category,,,,,
177,Subject,,,12002,50,2.541871051688848,,,,,,,Feature,,,,,,Category,,,,,
178,Subject,,,11992,60,1.2995604962653964,,,,,,,Feature,,,,,,Category,,,,,
179,Subject,,,11982,70,1.0527555393122079,,,,,,,Feature,,,,,,Category,,,,,
180,Subject,,,12051,1,0.32577588403301094,,,,,,,,Feature,,,,,Category,,,,,
181,Subject,,,12047,5,1.6254486890614794,,,,,,,,Feature,,,,,Category,,,,,
182,Subject,,,12042,10,3.2272479097568607,,,,,,,,Feature,,,,,Category,,,,,
183,Subject,,,12037,15,4.754141031477199,,,,,,,,Feature,,,,,Category,,,,,
184,Subject,,,12032,20,6.142453202419779,,,,,,,,Feature,,,,,Category,,,,,
185,Subject,,,12022,30,8.458232718758058,,,,,,,,Feature,,,,,Category,,,,,
186,Subject,,,12012,40,5.7870559662659105,,,,,,,,Feature,,,,,Category,,,,,
187,Subject,,,12002,50,3.682194870805077,,,,,,,,Feature,,,,,Category,,,,,
188,Subject,,,11992,60,2.3564155196672254,,,,,,,,Feature,,,,,Category,,,,,
189,Subject,,,11982,70,1.949613908889029,,,,,,,,Feature,,,,,Category,,,,,
190,Subject,,,12051,1,0.398637263068508,,,,,,,,,Feature,,,,Category,,,,,
191,Subject,,,12047,5,1.9913357415947481,,,,,,,,,Feature,,,,Category,,,,,
192,Subject,,,12042,10,3.957272236520956,,,,,,,,,Feature,,,,Category,,,,,
193,Subject,,,12037,15,5.8354681310863805,,,,,,,,,Feature,,,,Category,,,,,
194,Subject,,,12032,20,7.518618472196143,,,,,,,,,Feature,,,,Category,,,,,
195,Subject,,,12022,30,10.089508689494881,,,,,,,,,Feature,,,,Category,,,,,
196,Subject,,,12012,40,5.802346601471612,,,,,,,,,Feature,,,,Category,,,,,
