,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,jason,sir condy
144,Subject,,,5972,20,11.572257930603541,,,,Feature,,,,,,,,,Category,,,
145,Subject,,,5962,30,12.464308773645218,,,,Feature,,,,,,,,,Category,,,
146,Subject,,,5952,40,2.1102741496668016,,,,Feature,,,,,,,,,Category,,,
147,Subject,,,5942,50,0.3008016410006657,,,,Feature,,,,,,,,,Category,,,
148,Subject,,,5932,60,0.05182653838289605,,,,Feature,,,,,,,,,Category,,,
149,Subject,,,5922,70,0.03303275923726767,,,,Feature,,,,,,,,,Category,,,
150,Subject,,,5991,1,0.17324829112685158,,,,,Feature,,,,,,,,Category,,,
151,Subject,,,5987,5,0.8653833642500844,,,,,Feature,,,,,,,,Category,,,
152,Subject,,,5982,10,1.7181544301196543,,,,,Feature,,,,,,,,Category,,,
153,Subject,,,5977,15,2.5528981536551374,,,,,Feature,,,,,,,,Category,,,
154,Subject,,,5972,20,3.3579186322215997,,,,,Feature,,,,,,,,Category,,,
155,Subject,,,5962,30,4.8511202289605615,,,,,Feature,,,,,,,,Category,,,
156,Subject,,,5952,40,4.58906002712156,,,,,Feature,,,,,,,,Category,,,
157,Subject,,,5942,50,3.8281688883649068,,,,,Feature,,,,,,,,Category,,,
158,Subject,,,5932,60,3.0955203686572825,,,,,Feature,,,,,,,,Category,,,
159,Subject,,,5922,70,2.835749542468951,,,,,Feature,,,,,,,,Category,,,
160,Subject,,,5991,1,0.9265743522312078,,,,,,Feature,,,,,,,Category,,,
161,Subject,,,5987,5,4.606340155955194,,,,,,Feature,,,,,,,Category,,,
162,Subject,,,5982,10,9.052666819504566,,,,,,Feature,,,,,,,Category,,,
163,Subject,,,5977,15,11.760219932297893,,,,,,Feature,,,,,,,Category,,,
164,Subject,,,5972,20,12.40171724905151,,,,,,Feature,,,,,,,Category,,,
165,Subject,,,5962,30,12.535789092560638,,,,,,Feature,,,,,,,Category,,,
166,Subject,,,5952,40,0.7822847809547843,,,,,,Feature,,,,,,,Category,,,
167,Subject,,,5942,50,0.056451741954965606,,,,,,Feature,,,,,,,Category,,,
168,Subject,,,5932,60,0.0,,,,,,Feature,,,,,,,Category,,,
169,Subject,,,5922,70,0.0,,,,,,Feature,,,,,,,Category,,,
170,Subject,,,5991,1,0.2810193056191944,,,,,,,Feature,,,,,,Category,,,
171,Subject,,,5987,5,1.4028396839201285,,,,,,,Feature,,,,,,Category,,,
172,Subject,,,5982,10,2.7783947597744207,,,,,,,Feature,,,,,,Category,,,
173,Subject,,,5977,15,4.110986098307377,,,,,,,Feature,,,,,,Category,,,
