,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,character,friend,husband
162,Subject,,,11994,10,8.689146928637623,,,,,,Feature,,,,,,,Category,,,,
163,Subject,,,11989,15,11.818559090603355,,,,,,Feature,,,,,,,Category,,,,
164,Subject,,,11984,20,12.957327118341565,,,,,,Feature,,,,,,,Category,,,,
165,Subject,,,11974,30,13.450273587273637,,,,,,Feature,,,,,,,Category,,,,
166,Subject,,,11964,40,1.5160406569734108,,,,,,Feature,,,,,,,Category,,,,
167,Subject,,,11954,50,0.36642041197262315,,,,,,Feature,,,,,,,Category,,,,
168,Subject,,,11944,60,0.12165849719404016,,,,,,Feature,,,,,,,Category,,,,
169,Subject,,,11934,70,0.08377372684918306,,,,,,Feature,,,,,,,Category,,,,
170,Subject,,,33610,1,0.016396746563731947,,,,,,,Feature,,,,,,Category,,,,
171,Subject,,,33606,5,0.07436457198299296,,,,,,,Feature,,,,,,Category,,,,
172,Subject,,,33601,10,0.13752699625716583,,,,,,,Feature,,,,,,Category,,,,
173,Subject,,,33596,15,0.19138972909689006,,,,,,,Feature,,,,,,Category,,,,
174,Subject,,,33591,20,0.23640960878549122,,,,,,,Feature,,,,,,Category,,,,
175,Subject,,,33581,30,0.31666975959857624,,,,,,,Feature,,,,,,Category,,,,
176,Subject,,,33571,40,0.32480554599717293,,,,,,,Feature,,,,,,Category,,,,
177,Subject,,,33561,50,0.3454605682446968,,,,,,,Feature,,,,,,Category,,,,
178,Subject,,,33551,60,0.37094166681621943,,,,,,,Feature,,,,,,Category,,,,
179,Subject,,,33541,70,0.38199557536796114,,,,,,,Feature,,,,,,Category,,,,
180,Subject,,,12003,1,0.33396520207850167,,,,,,,,Feature,,,,,Category,,,,
181,Subject,,,11999,5,1.6637005065659891,,,,,,,,Feature,,,,,Category,,,,
182,Subject,,,11994,10,3.3003425136807922,,,,,,,,Feature,,,,,Category,,,,
