,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,captain,delvile,doctor,dr lyster,gentleman,lady honoria,miss beverley,miss larolles,morrice,mr arnott,mr briggs,mr delvile,mr harrel,mr hobson,mr monckton,mrs belfield,mrs charlton,mrs delvile,mrs harrel,servant,sir robert,son
86,Subject,,,62443,40,1.072626711693587,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Subject,,,62433,50,1.1112594602916295,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Subject,,,62423,60,1.1374475211976667,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Subject,,,62413,70,1.1453215583144327,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Subject,,,62482,1,0.02980604608150684,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Subject,,,62478,5,0.14719724597067432,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Subject,,,62473,10,0.29142285941349266,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Subject,,,62468,15,0.43322538427094703,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Subject,,,62463,20,0.5712412444370736,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Subject,,,62453,30,0.8383520944891867,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Subject,,,62443,40,0.9382290227108795,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Subject,,,62433,50,0.9789591963774182,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Subject,,,62423,60,1.016867199948049,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Subject,,,62413,70,1.031002489172945,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Subject,,,62482,1,0.05162624135716506,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
101,Subject,,,62478,5,0.2513197784847301,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
102,Subject,,,62473,10,0.4936497266946184,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
103,Subject,,,62468,15,0.7287327680851787,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
104,Subject,,,62463,20,0.9552160996086057,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
105,Subject,,,62453,30,1.381711438755415,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
106,Subject,,,62443,40,1.4333812492370803,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
107,Subject,,,62433,50,1.41087161944415,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
108,Subject,,,62423,60,1.4182367750300116,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
109,Subject,,,62413,70,1.4212316754606187,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,
110,Subject,,,62482,1,0.2093057921191182,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
111,Subject,,,62478,5,0.9147138035744519,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
112,Subject,,,62473,10,1.6882800097346704,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
113,Subject,,,62468,15,2.3473231934396432,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
114,Subject,,,62463,20,2.8680763108165297,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
115,Subject,,,62453,30,3.6491075423128363,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
116,Subject,,,62443,40,2.615442872897938,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
117,Subject,,,62433,50,2.3776689355502794,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
118,Subject,,,62423,60,2.314087807068418,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
119,Subject,,,62413,70,2.299336636138864,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
120,Subject,,,62482,1,0.4726277045575723,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
121,Subject,,,62478,5,2.3547751567287554,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
122,Subject,,,62473,10,4.690140487547065,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
123,Subject,,,62468,15,6.941752835120308,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
124,Subject,,,62463,20,8.979895045640083,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
125,Subject,,,62453,30,12.132080179342791,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
126,Subject,,,62443,40,5.823816985140045,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
127,Subject,,,62433,50,2.634606927705213,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
128,Subject,,,62423,60,1.2036435185046723,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
129,Subject,,,62413,70,0.8837516446206911,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
130,Subject,,,62482,1,0.6291108735412358,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
131,Subject,,,62478,5,3.144978258940547,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
132,Subject,,,62473,10,6.278320226536322,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
133,Subject,,,62468,15,9.28870164480445,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
134,Subject,,,62463,20,11.86615882684536,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
135,Subject,,,62453,30,14.829872997695798,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
136,Subject,,,62443,40,3.708244320389993,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
137,Subject,,,62433,50,0.8460235160149642,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
138,Subject,,,62423,60,0.19478418934269504,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
139,Subject,,,62413,70,0.11016288764128211,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
140,Subject,,,62482,1,0.9999831480456053,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
141,Subject,,,62478,5,4.996248425888659,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
142,Subject,,,62473,10,9.975919968250311,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
143,Subject,,,62468,15,14.542119170147052,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
144,Subject,,,62463,20,15.8672652383262,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
145,Subject,,,62453,30,15.930483254503248,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
146,Subject,,,62443,40,0.07705297150986981,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
147,Subject,,,62433,50,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
148,Subject,,,62423,60,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
149,Subject,,,62413,70,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
150,Subject,,,62482,1,0.35418344844651195,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
151,Subject,,,62478,5,1.7642794281108944,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
152,Subject,,,62473,10,3.5146314157127216,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
153,Subject,,,62468,15,5.219552370059138,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
154,Subject,,,62463,20,6.83206573182883,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
155,Subject,,,62453,30,9.635134878531645,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
156,Subject,,,62443,40,6.296641211655555,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
157,Subject,,,62433,50,3.772425847615191,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
158,Subject,,,62423,60,2.294187347947367,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
159,Subject,,,62413,70,1.8850266188396732,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
160,Subject,,,62482,1,0.7562899569588897,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
161,Subject,,,62478,5,3.781085526492042,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
162,Subject,,,62473,10,7.551020298836654,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
163,Subject,,,62468,15,11.118388151667665,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
164,Subject,,,62463,20,13.811379626038882,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
165,Subject,,,62453,30,15.75988452025345,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
166,Subject,,,62443,40,0.00027822070880385966,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
167,Subject,,,62433,50,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
168,Subject,,,62423,60,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
169,Subject,,,62413,70,0.009185134392379318,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
170,Subject,,,62482,1,0.544809968292616,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
171,Subject,,,62478,5,2.7159323011910637,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
172,Subject,,,62473,10,5.411550747774528,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
173,Subject,,,62468,15,7.9984041910196515,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
174,Subject,,,62463,20,10.2610988870823,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
175,Subject,,,62453,30,13.395943890214465,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
176,Subject,,,62443,40,5.102973393481719,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
177,Subject,,,62433,50,1.913248034822398,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
178,Subject,,,62423,60,0.8205168414678358,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
179,Subject,,,62413,70,0.5974177625482083,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
180,Subject,,,62482,1,0.5388619958576919,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
181,Subject,,,62478,5,2.691365667760012,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
182,Subject,,,62473,10,5.367458860201819,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
183,Subject,,,62468,15,7.947767028592093,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
184,Subject,,,62463,20,10.242949428234922,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
185,Subject,,,62453,30,13.438428710001157,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
186,Subject,,,62443,40,5.060128212940733,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
187,Subject,,,62433,50,1.7596265406462384,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
188,Subject,,,62423,60,0.6217032173196527,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
189,Subject,,,62413,70,0.39971083129918744,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
190,Subject,,,62482,1,0.5643907981184082,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
191,Subject,,,62478,5,2.818383342728056,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
192,Subject,,,62473,10,5.62168695687271,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
193,Subject,,,62468,15,8.31350182112721,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
194,Subject,,,62463,20,10.672273786247766,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
195,Subject,,,62453,30,13.828421648146415,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
196,Subject,,,62443,40,4.704130567132118,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
197,Subject,,,62433,50,1.5233579294939574,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
198,Subject,,,62423,60,0.5678991337187723,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
199,Subject,,,62413,70,0.3917279882211507,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,
200,Subject,,,62482,1,0.45477241702135035,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
201,Subject,,,62478,5,2.272632709376564,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
202,Subject,,,62473,10,4.537151492380544,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
203,Subject,,,62468,15,6.750566820247,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
204,Subject,,,62463,20,8.82257682230963,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
205,Subject,,,62453,30,12.1874250342291,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
206,Subject,,,62443,40,5.9232639218900305,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
207,Subject,,,62433,50,2.479382436160979,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
208,Subject,,,62423,60,1.024583700031662,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
209,Subject,,,62413,70,0.7245257542227632,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,,,,,,,,,,,
210,Subject,,,62482,1,0.6726775544676336,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,,,,,,,,,,,
