,NER_CARDINAL,NER_DATE,NER_GPE,NER_ORG,NER_PERSON,WN_entity,WN_female,WN_male,WN_person,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t,mention_categ
80,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,PROPN,archangel,NNP,Archangel,2507,PROPN,archangel,NNP,Archangel,2485,person
81,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,PROPN,archangel,NNP,Archangel,3590,PROPN,archangel,NNP,Archangel,3576,person
82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,lieutenant,NN,My lieutenant,2533,NOUN,lieutenant,NN,My lieutenant,2533,person
83,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,lieutenant,NN,My lieutenant,2548,PRON,he,PRP,he,2533,environment
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,lieutenant,NN,My lieutenant,2568,DET,his,PRP$,his,2533,environment
85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,lieutenant,NN,My lieutenant,2571,PRON,he,PRP,He,2571,environment
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,lieutenant,NN,My lieutenant,2604,PRON,him,PRP,him,2599,environment
87,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,lieutenant,NN,My lieutenant,2613,PRON,he,PRP,he,2599,environment
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,lieutenant,NN,My lieutenant,2623,PRON,him,PRP,him,2599,environment
89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,2607,NOUN,vessel,NN,a whale vessel,2599,environment
90,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,4317,NOUN,vessel,NN,the vessel,4289,environment
91,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,4382,NOUN,vessel,NN,the vessel,4360,environment
92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,4516,NOUN,vessel,NN,my vessel,4486,environment
93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,4524,PRON,he,PRP,he,4486,environment
94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,4561,PRON,he,PRP,he,4558,environment
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,4587,DET,his,PRP$,his,4575,environment
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,4597,DET,his,PRP$,His,4597,environment
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,vessel,NN,a whale vessel,4604,DET,his,PRP$,his,4597,environment
98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,master,NN,The master,2631,NOUN,master,NN,The master,2631,person
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,master,NN,The master,2648,DET,his,PRP$,his,2631,environment
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,master,NN,The master,2654,DET,his,PRP$,his,2631,environment
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,master,NN,The master,2662,DET,his,PRP$,his,2657,environment
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,master,NN,The master,2676,PRON,him,PRP,him,2657,environment
103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,master,NN,The master,4415,NOUN,master,NN,the master,4409,person
104,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,master,NN,The master,4426,PRON,he,PRP,he,4409,environment
105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,master,NN,The master,4468,PRON,he,PRP,he,4458,environment
106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,character,NN,my character,2701,NOUN,character,NN,my character,2678,person
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,character,NN,my character,2759,PRON,myself,PRP,myself,2678,environment
108,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,ship,NN,board ship,2718,NOUN,ship,NN,board ship,2678,environment
109,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,ship,NN,board ship,3960,NOUN,ship,NN,the ship,3945,environment
110,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,ship,NN,board ship,4245,NOUN,ship,NN,our ship,4225,environment
111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,mariner,NN,a mariner,2735,NOUN,mariner,NN,a mariner,2678,person
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2740,DET,his,PRP$,his,2678,environment
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2752,PRON,him,PRP,him,2678,environment
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2754,DET,his,PRP$,his,2678,environment
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2767,DET,his,PRP$,his,2678,environment
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2773,PRON,him,PRP,him,2770,environment
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2787,PRON,him,PRP,him,2770,environment
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2799,DET,his,PRP$,his,2794,environment
119,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2804,PRON,he,PRP,he,2802,environment
120,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2836,PRON,he,PRP,He,2836,environment
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2838,DET,his,PRP$,his,2836,environment
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2858,DET,his,PRP$,his,2836,environment
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2862,PRON,him,PRP,him,2836,environment
124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2879,PRON,he,PRP,he,2836,environment
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2914,DET,his,PRP$,his,2894,environment
