,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,baronet,bellamy,camilla,doctor,dr. marchmont,dr. orkborne,edgar,friend,gentleman,jacob,major cerwood,mandlebert,mary,melmond,miss margland,mr. dubster,mr. tyrold,mrs. arlbery,mrs. berlinton,mrs. mittin,mrs. tyrold,my dear,sir hugh,sir sedley
63,Subject,,,64591,15,0.3184683045656117,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Subject,,,64586,20,0.4216477579490871,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Subject,,,64576,30,0.6222810014735395,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Subject,,,64566,40,0.7177347344988516,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Subject,,,64556,50,0.7704632952979619,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Subject,,,64546,60,0.8146457674454218,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Subject,,,64536,70,0.8306093573832894,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Subject,,,64605,1,0.02753016673371258,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Subject,,,64601,5,0.1335731667116864,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Subject,,,64596,10,0.2627677086249874,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Subject,,,64591,15,0.3888685446027688,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Subject,,,64586,20,0.5119958377706413,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Subject,,,64576,30,0.7496189030396437,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Subject,,,64566,40,0.846824024257862,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Subject,,,64556,50,0.8973906503909173,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Subject,,,64546,60,0.9365837421164511,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Subject,,,64536,70,0.950662135067967,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Subject,,,64605,1,0.024606941569172053,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Subject,,,64601,5,0.12072877851248144,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Subject,,,64596,10,0.23692117285040568,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Subject,,,64591,15,0.35057460648952316,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Subject,,,64586,20,0.4635204104096217,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Subject,,,64576,30,0.6860259545202524,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Subject,,,64566,40,0.8003182724357023,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Subject,,,64556,50,0.8711515062087783,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Subject,,,64546,60,0.9231694130196672,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Subject,,,64536,70,0.9395129643357296,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Subject,,,64605,1,0.022164177823457313,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Subject,,,64601,5,0.10951183526246605,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Subject,,,64596,10,0.21695530326076876,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Subject,,,64591,15,0.32248894133706807,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Subject,,,64586,20,0.4270425931263845,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Subject,,,64576,30,0.6331235711731931,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Subject,,,64566,40,0.7379613365742004,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Subject,,,64556,50,0.787364260730634,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Subject,,,64546,60,0.8256883937575252,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Subject,,,64536,70,0.8393699313027949,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Subject,,,64605,1,0.039653508288012125,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Subject,,,64601,5,0.1920338391648934,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Subject,,,64596,10,0.3761355720416292,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Subject,,,64591,15,0.5524800881956595,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Subject,,,64586,20,0.7233467578434362,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Subject,,,64576,30,1.047310089619305,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Subject,,,64566,40,1.1214689804247975,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Subject,,,64556,50,1.1534165216478371,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Subject,,,64546,60,1.1842440954150997,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Subject,,,64536,70,1.1978633852498966,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Subject,,,64605,1,0.15427705871322803,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Subject,,,64601,5,0.6669255297883937,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Subject,,,64596,10,1.2425529876839616,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Subject,,,64591,15,1.746899929950213,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Subject,,,64586,20,2.1809797922161356,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Subject,,,64576,30,2.901169859241782,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Subject,,,64566,40,2.39635203313226,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Subject,,,64556,50,2.2403956614985203,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Subject,,,64546,60,2.185228099255224,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Subject,,,64536,70,2.171638105079723,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Subject,,,64605,1,0.45743278304126517,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
121,Subject,,,64601,5,2.280294356002641,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
122,Subject,,,64596,10,4.546263813112236,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
123,Subject,,,64591,15,6.740985178668688,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
124,Subject,,,64586,20,8.765372115969967,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
125,Subject,,,64576,30,11.959258720742506,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
126,Subject,,,64566,40,5.9409829577787,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
127,Subject,,,64556,50,2.7530591919422744,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
128,Subject,,,64546,60,1.3379126621198616,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
129,Subject,,,64536,70,1.0064890327833451,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
130,Subject,,,64605,1,0.6455284969674235,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
131,Subject,,,64601,5,3.2268230313294,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
132,Subject,,,64596,10,6.442475585294199,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
133,Subject,,,64591,15,9.535148900873061,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
134,Subject,,,64586,20,12.156362030136714,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
135,Subject,,,64576,30,15.049222226690546,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
136,Subject,,,64566,40,3.4996841583913105,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
137,Subject,,,64556,50,0.7333604956039984,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
138,Subject,,,64546,60,0.16312422116174177,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
139,Subject,,,64536,70,0.08779066855714285,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
140,Subject,,,64605,1,0.9987143830338496,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
141,Subject,,,64601,5,4.990606591316814,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
142,Subject,,,64596,10,9.96708622707249,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
143,Subject,,,64591,15,14.550008838783441,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
144,Subject,,,64586,20,15.915452462493914,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
145,Subject,,,64576,30,15.978555602814177,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
146,Subject,,,64566,40,0.04208766682392609,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
147,Subject,,,64556,50,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
148,Subject,,,64546,60,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
149,Subject,,,64536,70,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
150,Subject,,,64605,1,0.3610323105507279,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
151,Subject,,,64601,5,1.8033697283782535,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
152,Subject,,,64596,10,3.5993512003969803,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
153,Subject,,,64591,15,5.358791533093444,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
154,Subject,,,64586,20,7.031630817454958,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
155,Subject,,,64576,30,9.954307607750042,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
156,Subject,,,64566,40,6.27715279558518,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
157,Subject,,,64556,50,3.587188750562174,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
158,Subject,,,64546,60,2.071540314259377,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
159,Subject,,,64536,70,1.6813106783154872,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
160,Subject,,,64605,1,0.7694102605757176,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
161,Subject,,,64601,5,3.846568984470443,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
162,Subject,,,64596,10,7.681209975507895,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
163,Subject,,,64591,15,11.306334062490462,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
164,Subject,,,64586,20,14.007783625698519,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
165,Subject,,,64576,30,15.836578596448396,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
166,Subject,,,64566,40,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
167,Subject,,,64556,50,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
168,Subject,,,64546,60,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
169,Subject,,,64536,70,0.005128698472091178,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
170,Subject,,,64605,1,0.5462687611580878,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
171,Subject,,,64601,5,2.724770600585545,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
