,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,colonel brandon,edward,elinor,lucy,mrs. dashwood,mrs. jennings,sir john
139,Subject,,,21509,70,0.08022938259074422,,,Feature,,,,,,,,,,Category,,,,,,,,
140,Subject,,,21578,1,0.997790201574157,,,,Feature,,,,,,,,,Category,,,,,,,,
141,Subject,,,21574,5,4.9857828946208445,,,,Feature,,,,,,,,,Category,,,,,,,,
142,Subject,,,21569,10,9.933981012756446,,,,Feature,,,,,,,,,Category,,,,,,,,
143,Subject,,,21564,15,13.791122870593854,,,,Feature,,,,,,,,,Category,,,,,,,,
144,Subject,,,21559,20,14.372903239095052,,,,Feature,,,,,,,,,Category,,,,,,,,
145,Subject,,,21549,30,14.395333300897459,,,,Feature,,,,,,,,,Category,,,,,,,,
146,Subject,,,21539,40,0.09115170341545219,,,,Feature,,,,,,,,,Category,,,,,,,,
147,Subject,,,21529,50,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,
148,Subject,,,21519,60,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,
149,Subject,,,21509,70,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,
150,Subject,,,21578,1,0.3008092345001453,,,,,Feature,,,,,,,,Category,,,,,,,,
151,Subject,,,21574,5,1.499912990027513,,,,,Feature,,,,,,,,Category,,,,,,,,
152,Subject,,,21569,10,2.9850715378067374,,,,,Feature,,,,,,,,Category,,,,,,,,
153,Subject,,,21564,15,4.42460269474047,,,,,Feature,,,,,,,,Category,,,,,,,,
154,Subject,,,21559,20,5.780954710535097,,,,,Feature,,,,,,,,Category,,,,,,,,
155,Subject,,,21549,30,8.150988177504043,,,,,Feature,,,,,,,,Category,,,,,,,,
156,Subject,,,21539,40,5.94742824532465,,,,,Feature,,,,,,,,Category,,,,,,,,
157,Subject,,,21529,50,4.010836229358873,,,,,Feature,,,,,,,,Category,,,,,,,,
158,Subject,,,21519,60,2.679529221344968,,,,,Feature,,,,,,,,Category,,,,,,,,
159,Subject,,,21509,70,2.285347246807395,,,,,Feature,,,,,,,,Category,,,,,,,,
160,Subject,,,21578,1,0.7369961159351097,,,,,,Feature,,,,,,,Category,,,,,,,,
