,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,ann,henry,mary
115,Subject,,,4564,30,2.592139890810989,Category,,,,,,,,,,,Feature,,,,
116,Subject,,,4554,40,1.8829830577375002,Category,,,,,,,,,,,Feature,,,,
117,Subject,,,4544,50,1.8253219783063293,Category,,,,,,,,,,,Feature,,,,
118,Subject,,,4534,60,1.784355148682198,Category,,,,,,,,,,,Feature,,,,
119,Subject,,,4524,70,1.781310260875424,Category,,,,,,,,,,,Feature,,,,
120,Subject,,,6603,1,0.06423041549938165,,Feature,,,,,,,,,,,Category,,,
121,Subject,,,6599,5,0.29359675702818644,,Feature,,,,,,,,,,,Category,,,
122,Subject,,,6594,10,0.5491864266707525,,Feature,,,,,,,,,,,Category,,,
123,Subject,,,6589,15,0.7832775435752666,,Feature,,,,,,,,,,,Category,,,
124,Subject,,,6584,20,1.0090877057183074,,Feature,,,,,,,,,,,Category,,,
125,Subject,,,6574,30,1.4250376738508646,,Feature,,,,,,,,,,,Category,,,
126,Subject,,,6564,40,1.4889264651555012,,Feature,,,,,,,,,,,Category,,,
127,Subject,,,6554,50,1.5210816578826059,,Feature,,,,,,,,,,,Category,,,
128,Subject,,,6544,60,1.547050286842767,,Feature,,,,,,,,,,,Category,,,
129,Subject,,,6534,70,1.5547720171983532,,Feature,,,,,,,,,,,Category,,,
130,Subject,,,4593,1,0.36306528938258426,,,Feature,,,,,,,,,,Category,,,
131,Subject,,,4589,5,1.8106208627074456,,,Feature,,,,,,,,,,Category,,,
132,Subject,,,4584,10,3.578344199280101,,,Feature,,,,,,,,,,Category,,,
133,Subject,,,4579,15,5.225204729761613,,,Feature,,,,,,,,,,Category,,,
134,Subject,,,4574,20,6.663921741229645,,,Feature,,,,,,,,,,Category,,,
135,Subject,,,4564,30,8.839312763015709,,,Feature,,,,,,,,,,Category,,,
136,Subject,,,4554,40,5.497771102001923,,,Feature,,,,,,,,,,Category,,,
137,Subject,,,4544,50,3.177032638007917,,,Feature,,,,,,,,,,Category,,,
138,Subject,,,4534,60,2.0399012302078967,,,Feature,,,,,,,,,,Category,,,
139,Subject,,,4524,70,1.6762935013850364,,,Feature,,,,,,,,,,Category,,,
140,Subject,,,4593,1,0.8135991308867345,,,,Feature,,,,,,,,,Category,,,
141,Subject,,,4589,5,4.052736301216293,,,,Feature,,,,,,,,,Category,,,
142,Subject,,,4584,10,7.941428410577108,,,,Feature,,,,,,,,,Category,,,
143,Subject,,,4579,15,10.639906716229008,,,,Feature,,,,,,,,,Category,,,
144,Subject,,,4574,20,11.654543341776668,,,,Feature,,,,,,,,,Category,,,
145,Subject,,,4564,30,12.089620197016176,,,,Feature,,,,,,,,,Category,,,
146,Subject,,,4554,40,1.6445932963585304,,,,Feature,,,,,,,,,Category,,,
147,Subject,,,4544,50,0.3226490490563223,,,,Feature,,,,,,,,,Category,,,
148,Subject,,,4534,60,0.08389377903835125,,,,Feature,,,,,,,,,Category,,,
149,Subject,,,4524,70,0.036032263056275764,,,,Feature,,,,,,,,,Category,,,
150,Subject,,,4593,1,0.18135067644462471,,,,,Feature,,,,,,,,Category,,,
151,Subject,,,4589,5,0.9033157879533484,,,,,Feature,,,,,,,,Category,,,
152,Subject,,,4584,10,1.7895557091190724,,,,,Feature,,,,,,,,Category,,,
153,Subject,,,4579,15,2.655167092754252,,,,,Feature,,,,,,,,Category,,,
154,Subject,,,4574,20,3.4920118072800554,,,,,Feature,,,,,,,,Category,,,
155,Subject,,,4564,30,5.008504923997905,,,,,Feature,,,,,,,,Category,,,
156,Subject,,,4554,40,4.627436182398342,,,,,Feature,,,,,,,,Category,,,
157,Subject,,,4544,50,3.827915850845119,,,,,Feature,,,,,,,,Category,,,
158,Subject,,,4534,60,3.1026437384363494,,,,,Feature,,,,,,,,Category,,,
159,Subject,,,4524,70,2.8918196826132796,,,,,Feature,,,,,,,,Category,,,
160,Subject,,,4593,1,0.9357003901896935,,,,,,Feature,,,,,,,Category,,,
161,Subject,,,4589,5,4.641693647336143,,,,,,Feature,,,,,,,Category,,,
162,Subject,,,4584,10,9.078026306926562,,,,,,Feature,,,,,,,Category,,,
163,Subject,,,4579,15,11.495470390856504,,,,,,Feature,,,,,,,Category,,,
164,Subject,,,4574,20,12.010348954996866,,,,,,Feature,,,,,,,Category,,,
165,Subject,,,4564,30,12.150824531153084,,,,,,Feature,,,,,,,Category,,,
166,Subject,,,4554,40,0.8716765540779131,,,,,,Feature,,,,,,,Category,,,
167,Subject,,,4544,50,0.12856086244386178,,,,,,Feature,,,,,,,Category,,,
168,Subject,,,4534,60,0.008991256938146713,,,,,,Feature,,,,,,,Category,,,
169,Subject,,,4524,70,0.0,,,,,,Feature,,,,,,,Category,,,
170,Subject,,,4593,1,0.31559446034756056,,,,,,,Feature,,,,,,Category,,,
171,Subject,,,4589,5,1.5757963768330407,,,,,,,Feature,,,,,,Category,,,
172,Subject,,,4584,10,3.123861771427193,,,,,,,Feature,,,,,,Category,,,
173,Subject,,,4579,15,4.5793300654275235,,,,,,,Feature,,,,,,Category,,,
174,Subject,,,4574,20,5.888241435058894,,,,,,,Feature,,,,,,Category,,,
175,Subject,,,4564,30,8.012941798364983,,,,,,,Feature,,,,,,Category,,,
176,Subject,,,4554,40,5.554758956670835,,,,,,,Feature,,,,,,Category,,,
177,Subject,,,4544,50,3.33403540380723,,,,,,,Feature,,,,,,Category,,,
