,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,annette,bertrand,blanche,dorothee,ludovico,madame cheron,madame montoni,signor,st. aubert,ugo
215,Subject,,,50890,30,14.568210575707946,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
216,Subject,,,50880,40,3.6323864569012008,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
217,Subject,,,50870,50,0.9470721541030572,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
218,Subject,,,50860,60,0.24673334761086757,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
219,Subject,,,50850,70,0.14662643875036407,,,,,,,,,,,Feature,,Category,,,,,,,,,,,
220,Subject,,,50919,1,0.5073297606488587,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
221,Subject,,,50915,5,2.534820001004925,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
222,Subject,,,50910,10,5.057050955158163,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
223,Subject,,,50905,15,7.495570199112771,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
224,Subject,,,50900,20,9.70179778572739,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
225,Subject,,,50890,30,12.87499139182711,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
226,Subject,,,50880,40,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
227,Subject,,,50870,50,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
228,Subject,,,50860,60,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
229,Subject,,,50850,70,0.6124823441774323,,,,,,,,,,,,Feature,Category,,,,,,,,,,,
230,,Category,Feature,50919,1,0.6207477697106032,,,,,,,,,,,,,,Subject,,,,,,,,,,
231,,Category,Feature,50915,5,3.102416745449759,,,,,,,,,,,,,,Subject,,,,,,,,,,
232,,Category,Feature,50910,10,6.188848244722429,,,,,,,,,,,,,,Subject,,,,,,,,,,
233,,Category,Feature,50905,15,9.135977775860104,,,,,,,,,,,,,,Subject,,,,,,,,,,
234,,Category,Feature,50900,20,11.620696890414486,,,,,,,,,,,,,,Subject,,,,,,,,,,
235,,Category,Feature,50890,30,14.498106853160968,,,,,,,,,,,,,,Subject,,,,,,,,,,
236,,Category,Feature,50880,40,3.8217733909380494,,,,,,,,,,,,,,Subject,,,,,,,,,,
237,,Category,Feature,50870,50,0.8796184401107705,,,,,,,,,,,,,,Subject,,,,,,,,,,
238,,Category,Feature,50860,60,0.2584048483405221,,,,,,,,,,,,,,Subject,,,,,,,,,,
239,,Category,Feature,50850,70,0.16197734807819775,,,,,,,,,,,,,,Subject,,,,,,,,,,
240,,,,50919,1,0.5073297606488587,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
241,,,,50915,5,2.534820001004925,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
242,,,,50910,10,5.057050955158163,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
243,,,,50905,15,7.495570199112771,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
244,,,,50900,20,9.70179778572739,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
245,,,,50890,30,12.87499139182711,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
246,,,,50880,40,0.0,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
247,,,,50870,50,0.0,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
248,,,,50860,60,0.0,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
249,,,,50850,70,0.6124823441774323,Category,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
250,,,,50919,1,0.009235151201504244,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
251,,,,50915,5,0.045594271143567885,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
252,,,,50910,10,0.09057037175903507,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
253,,,,50905,15,0.13445569549566547,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
254,,,,50900,20,0.17763208291733554,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
255,,,,50890,30,0.26350611285400205,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
256,,,,50880,40,0.317514105541563,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
257,,,,50870,50,0.35406826530743424,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
258,,,,50860,60,0.38514811244470376,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
259,,,,50850,70,0.397113387594068,Category,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
260,,,,50919,1,0.33201663452013447,Category,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
261,,,,50915,5,1.6557383341678305,Category,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
262,,,,50910,10,3.2987116655614157,Category,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
263,,,,50905,15,4.89947187935832,Category,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
264,,,,50900,20,6.420507817642522,Category,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
265,,,,50890,30,9.07615551168005,Category,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
266,,,,50880,40,6.152198473529956,Category,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
