,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,R_possessive,i,lemma,neg,t,text
193,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1915,cautiously,False,1872,cautiously
194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,boy,,1929,pull,False,1872,pull
195,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,1940,church,False,1934,church
196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1954,numb,False,1934,numbed
197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1956,stiff,False,1934,stiff
198,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,1983,good,False,1967,best
199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1995,shoulder,False,1989,shoulder
200,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,boy,,2008,hug,False,1989,hugging
201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,boy,,,2015,pick,False,1989,picking
202,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,2020,sore,False,1989,sore
203,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2025,stone,False,1989,stones
204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2055,long,False,2050,long
205,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,2056,black,False,2050,black
206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,2085,black,False,2050,black
207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,2089,sky,False,2050,sky
208,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2093,row,False,2050,row
209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2095,long,False,2050,long
210,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2096,angry,False,2050,angry
211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2098,line,False,2050,lines
212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,2101,black,False,2050,black
213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2102,line,False,2050,lines
214,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,2119,black,False,2105,black
215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,2124,prospect,False,2105,prospect
216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,2129,stand,False,2105,standing
217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,2130,upright,False,2105,upright
218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2149,ugly,False,2105,ugly
219,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,it,,2166,hang,False,2105,hanging
220,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2174,pirate,False,2105,pirate
221,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,pirate,man,,2179,limp,False,2176,limping
222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2190,pirate,False,2176,pirate
223,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,2212,terrible,False,2208,terrible
224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2216,think,False,2208,thought
225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cattle,,,2237,think,False,2208,thought
226,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2247,horrible,False,2241,horrible
227,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,2248,young,False,2241,young
