,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it,,21269,signify,True,21259,signify
234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it,,21277,signify,False,21259,signify
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,father,,21467,bless,False,21466,bless
236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,man,,21494,break,False,21493,broke
237,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,21585,learning,False,21575,learning
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,21658,doubt,False,21647,doubt
239,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,21854,deny,True,21851,deny
240,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,21872,deny,True,21869,deny
241,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,man,,21962,break,False,21956,broke
242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,man,,22056,expect,False,22046,expected
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,22134,mother,False,22126,mother
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,22254,hope,False,22200,hope
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,22368,hope,False,22367,hope
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Uncle Pumblechook,,22424,servant,False,22388,servant
247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,man,,22500,think,False,22486,thought
248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,man,,22866,nose,False,22849,nose
249,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,I,,22899,stare,False,22896,staring
