,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
127,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,boy,,1667,present,False,1654,present
128,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,boy,,1667,present,False,1654,present
129,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,boy,,1667,present,False,1654,present
130,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,boy,,1667,present,False,1654,present
131,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,boy,,1667,present,False,1654,present
132,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,boy,,1672,difficulty,False,1654,difficulty
133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,boy,,1672,difficulty,False,1654,difficulty
134,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,boy,,1672,difficulty,False,1654,difficulty
135,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,boy,,1672,difficulty,False,1654,difficulty
136,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,,1729,Battery,False,1698,Battery
137,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,,1729,Battery,False,1698,Battery
138,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,you,,1779,young,False,1761,young
139,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,you,,1779,young,False,1761,young
140,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,you,,1779,young,False,1761,young
141,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,you,,1779,young,False,1761,young
142,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,,1799,falter,False,1761,faltered
143,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,,1799,falter,False,1761,faltered
144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,man,,1837,time,False,1834,time
145,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1840,hug,False,1834,hugged
146,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1840,hug,False,1834,hugged
147,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,arms,1840,hug,False,1834,hugged
148,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1840,hug,False,1834,hugged
149,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1840,hug,False,1834,hugged
150,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,arms,1840,hug,False,1834,hugged
151,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1840,hug,False,1834,hugged
152,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1840,hug,False,1834,hugged
153,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,arms,1840,hug,False,1834,hugged
154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,church wall,1860,limp,False,1834,limped
155,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,,1864,church,False,1834,church wall
156,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,,1864,church,False,1834,church wall
157,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,,1864,church,False,1834,church wall
158,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,,1864,church,False,1834,church wall
159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,boy,,1872,pick,False,1866,picking
160,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,1877,nettle,False,1866,nettles
161,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,1877,nettle,False,1866,nettles
162,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,1877,nettle,False,1866,nettles
163,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,boy,,1893,young,False,1866,young
164,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,boy,,1893,young,False,1866,young
165,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,boy,,1893,young,False,1866,young
166,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,boy,,1893,young,False,1866,young
167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,him,1922,pull,False,1866,pull
168,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,,1932,church,False,1926,church wall
169,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,,1932,church,False,1926,church wall
170,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,,1932,church,False,1926,church wall
171,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,,1932,church,False,1926,church wall
172,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,1974,good,False,1958,best
173,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,1974,good,False,1958,best
174,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,1974,good,False,1958,best
175,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,1974,good,False,1958,best
176,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,1974,good,False,1958,best
177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,man,,1986,shoulder,False,1980,shoulder
178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,man,,1986,shoulder,False,1980,shoulder
179,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1998,hug,False,1980,hugging
180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,arms,1998,hug,False,1980,hugging
181,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1998,hug,False,1980,hugging
182,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,arms,1998,hug,False,1980,hugging
183,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,himself,1998,hug,False,1980,hugging
184,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,man,arms,1998,hug,False,1980,hugging
185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,2005,pick,False,1980,picking
186,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,man,,2010,sore,False,1980,sore
187,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,man,,2010,sore,False,1980,sore
188,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,man,,2010,sore,False,1980,sore
189,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,2015,stone,False,1980,stones
190,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,2015,stone,False,1980,stones
191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,marshes,,2044,long,False,2039,long
192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,marshes,,2045,black,False,2039,black
193,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,marshes,,2045,black,False,2039,black
194,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,river,,2074,black,False,2039,black
195,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,river,,2074,black,False,2039,black
196,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,river,,2082,row,False,2039,row
